"filename", "language", "Markdown", "C++", "CMake", "Ini", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\CanvasServer2\config.ini", "Ini", 0, 0, 0, -30, 0, 0, -30
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CSession.h", "C++", 0, 7, 0, 0, 0, 0, 7
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Room.h", "C++", 0, 4, 0, 0, 2, 2, 8
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\const.h", "C++", 0, 5, 0, 0, 0, 0, 5
"e:\qt_project\SyncCanvas\CanvasServer2\src\CSession.cpp", "C++", 0, 24, 0, 0, -3, 5, 26
"e:\qt_project\SyncCanvas\CanvasServer2\src\LogicSystem.cpp", "C++", 0, 14, 0, 0, 4, 5, 23
"e:\qt_project\SyncCanvas\CanvasServer2\src\Room.cpp", "C++", 0, 63, 0, 0, 13, 16, 92
"e:\qt_project\SyncCanvas\CanvasServer\CMakeLists.txt", "CMake", 0, 0, -1, 0, 0, 1, 0
"e:\qt_project\SyncCanvas\CanvasServer\config.ini", "Ini", 0, 0, 0, -30, 0, 0, -30
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CSession.h", "C++", 0, 7, 0, 0, 0, 0, 7
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Room.h", "C++", 0, 4, 0, 0, 2, 2, 8
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\const.h", "C++", 0, 5, 0, 0, 0, 0, 5
"e:\qt_project\SyncCanvas\CanvasServer\src\CSession.cpp", "C++", 0, 22, 0, 0, -3, 5, 24
"e:\qt_project\SyncCanvas\CanvasServer\src\LogicSystem.cpp", "C++", 0, 14, 0, 0, 4, 5, 23
"e:\qt_project\SyncCanvas\CanvasServer\src\Room.cpp", "C++", 0, 63, 0, 0, 13, 16, 92
"e:\qt_project\SyncCanvas\DBClient\CMakeLists.txt", "CMake", 0, 0, 3, 0, 0, 0, 3
"e:\qt_project\SyncCanvas\DBClient\canvas.cpp", "C++", 0, 80, 0, 0, -7, 3, 76
"e:\qt_project\SyncCanvas\DBClient\canvas.h", "C++", 0, 7, 0, 0, 0, -1, 6
"e:\qt_project\SyncCanvas\DBClient\config.ini", "Ini", 0, 0, 0, -4, 0, 0, -4
"e:\qt_project\SyncCanvas\DBClient\global.h", "C++", 0, 8, 0, 0, 0, 1, 9
"e:\qt_project\SyncCanvas\DBClient\hoverwidget.cpp", "C++", 0, 37, 0, 0, 18, 17, 72
"e:\qt_project\SyncCanvas\DBClient\hoverwidget.h", "C++", 0, 7, 0, 0, 6, 2, 15
"e:\qt_project\SyncCanvas\DBClient\httpmgr.cpp", "C++", 0, 41, 0, 0, 7, 6, 54
"e:\qt_project\SyncCanvas\DBClient\httpmgr.h", "C++", 0, 2, 0, 0, 1, 0, 3
"e:\qt_project\SyncCanvas\DBClient\lobbywidget.cpp", "C++", 0, 135, 0, 0, 30, 34, 199
"e:\qt_project\SyncCanvas\DBClient\lobbywidget.h", "C++", 0, 15, 0, 0, 0, 5, 20
"e:\qt_project\SyncCanvas\DBClient\loginwidget.cpp", "C++", 0, 2, 0, 0, 0, 0, 2
"e:\qt_project\SyncCanvas\DBClient\mainwindow.cpp", "C++", 0, 7, 0, 0, 3, 2, 12
"e:\qt_project\SyncCanvas\DBClient\mainwindow.h", "C++", 0, 1, 0, 0, 0, 0, 1
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.cpp", "C++", 0, 37, 0, 0, 6, 11, 54
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.h", "C++", 0, 2, 0, 0, 0, 1, 3
"e:\qt_project\SyncCanvas\DBClient\userdata.cpp", "C++", 0, 3, 0, 0, 0, 2, 5
"e:\qt_project\SyncCanvas\DBClient\userdata.h", "C++", 0, 1, 0, 0, 0, 0, 1
