"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\const.h", "C++", 0, 2, 0, 0, 2
"e:\qt_project\SyncCanvas\CanvasServer2\src\CSession.cpp", "C++", 0, 49, -1, 7, 55
"e:\qt_project\SyncCanvas\CanvasServer2\src\LogicSystem.cpp", "C++", 0, 6, 2, 2, 10
"e:\qt_project\SyncCanvas\CanvasServer2\src\Room.cpp", "C++", 0, 2, 3, 2, 7
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\const.h", "C++", 0, 2, 0, 0, 2
"e:\qt_project\SyncCanvas\CanvasServer\src\CSession.cpp", "C++", 0, 51, -1, 7, 57
"e:\qt_project\SyncCanvas\CanvasServer\src\LogicSystem.cpp", "C++", 0, 6, 2, 2, 10
"e:\qt_project\SyncCanvas\CanvasServer\src\Room.cpp", "C++", 0, 2, 3, 2, 7
"e:\qt_project\SyncCanvas\DBClient\canvas.cpp", "C++", 0, 185, 57, 55, 297
"e:\qt_project\SyncCanvas\DBClient\canvas.h", "C++", 0, 16, 2, 5, 23
"e:\qt_project\SyncCanvas\DBClient\global.h", "C++", 0, 2, 0, 0, 2
"e:\qt_project\SyncCanvas\DBClient\lobbywidget.cpp", "C++", 0, 6, 1, 2, 9
"e:\qt_project\SyncCanvas\DBClient\lobbywidget.h", "C++", 0, 1, 0, 0, 1
"e:\qt_project\SyncCanvas\DBClient\mainwindow.cpp", "C++", 0, -7, 18, 2, 13
"e:\qt_project\SyncCanvas\DBClient\paintscene.cpp", "C++", 0, 153, 9, 17, 179
"e:\qt_project\SyncCanvas\DBClient\paintscene.h", "C++", 0, 16, 1, 5, 22
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.cpp", "C++", 0, 118, 16, 31, 165
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.h", "C++", 0, 14, 2, 7, 23
"e:\qt_project\SyncCanvas\README.md", "Markdown", 167, 0, 0, 34, 201
"Total", "-", 167, 624, 114, 180, 1085
