"filename", "language", "C++", "Markdown", "JSON", "JavaScript", "CMake", "Batch", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\CanvasServer2\CMakeLists.txt", "CMake", 0, 0, 0, 0, 119, 0, 0, 20, 139
"e:\qt_project\SyncCanvas\CanvasServer2\CMakePresets.json", "JSON", 0, 0, 103, 0, 0, 0, 0, 1, 104
"e:\qt_project\SyncCanvas\CanvasServer2\gen_message.bat", "Batch", 0, 0, 0, 0, 0, 29, 9, 9, 47
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\AsioIOServicePool.h", "C++", 25, 0, 0, 0, 0, 0, 4, 11, 40
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CServer.h", "C++", 19, 0, 0, 0, 0, 0, 0, 3, 22
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CSession.h", "C++", 55, 0, 0, 0, 0, 0, 6, 11, 72
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CanvasServer.h", "C++", 2, 0, 0, 0, 0, 0, 3, 4, 9
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\ConfigMgr.h", "C++", 66, 0, 0, 0, 0, 0, 0, 10, 76
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\LogicSystem.h", "C++", 31, 0, 0, 0, 0, 0, 7, 10, 48
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\MsgNode.h", "C++", 51, 0, 0, 0, 0, 0, 6, 6, 63
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\RedisMgr.h", "C++", 30, 0, 0, 0, 0, 0, 6, 12, 48
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Room.h", "C++", 31, 0, 0, 0, 0, 0, 6, 11, 48
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\RoomMgr.h", "C++", 20, 0, 0, 0, 0, 0, 5, 6, 31
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\SessionMgr.h", "C++", 20, 0, 0, 0, 0, 0, 3, 5, 28
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Singleton.h", "C++", 29, 0, 0, 0, 0, 0, 9, 5, 43
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\const.h", "C++", 53, 0, 0, 0, 0, 0, 18, 8, 79
"e:\qt_project\SyncCanvas\CanvasServer2\src\AsioIOServicePool.cpp", "C++", 42, 0, 0, 0, 0, 0, 8, 7, 57
"e:\qt_project\SyncCanvas\CanvasServer2\src\CServer.cpp", "C++", 38, 0, 0, 0, 0, 0, 4, 4, 46
"e:\qt_project\SyncCanvas\CanvasServer2\src\CSession.cpp", "C++", 247, 0, 0, 0, 0, 0, 35, 45, 327
"e:\qt_project\SyncCanvas\CanvasServer2\src\CanvasServer.cpp", "C++", 59, 0, 0, 0, 0, 0, 18, 17, 94
"e:\qt_project\SyncCanvas\CanvasServer2\src\ConfigMgr.cpp", "C++", 40, 0, 0, 0, 0, 0, 3, 4, 47
"e:\qt_project\SyncCanvas\CanvasServer2\src\LogicSystem.cpp", "C++", 313, 0, 0, 0, 0, 0, 45, 62, 420
"e:\qt_project\SyncCanvas\CanvasServer2\src\RedisMgr.cpp", "C++", 244, 0, 0, 0, 0, 0, 22, 27, 293
"e:\qt_project\SyncCanvas\CanvasServer2\src\Room.cpp", "C++", 130, 0, 0, 0, 0, 0, 36, 34, 200
"e:\qt_project\SyncCanvas\CanvasServer2\src\RoomMgr.cpp", "C++", 44, 0, 0, 0, 0, 0, 2, 11, 57
"e:\qt_project\SyncCanvas\CanvasServer2\src\SessionMgr.cpp", "C++", 36, 0, 0, 0, 0, 0, 4, 11, 51
"e:\qt_project\SyncCanvas\CanvasServer\CMakeLists.txt", "CMake", 0, 0, 0, 0, 118, 0, 0, 22, 140
"e:\qt_project\SyncCanvas\CanvasServer\CMakePresets.json", "JSON", 0, 0, 103, 0, 0, 0, 0, 1, 104
"e:\qt_project\SyncCanvas\CanvasServer\gen_message.bat", "Batch", 0, 0, 0, 0, 0, 29, 9, 9, 47
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\AsioIOServicePool.h", "C++", 25, 0, 0, 0, 0, 0, 4, 11, 40
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CServer.h", "C++", 19, 0, 0, 0, 0, 0, 0, 3, 22
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CSession.h", "C++", 55, 0, 0, 0, 0, 0, 6, 11, 72
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CanvasServer.h", "C++", 2, 0, 0, 0, 0, 0, 3, 4, 9
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\ConfigMgr.h", "C++", 66, 0, 0, 0, 0, 0, 0, 10, 76
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\LogicSystem.h", "C++", 31, 0, 0, 0, 0, 0, 7, 10, 48
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\MsgNode.h", "C++", 51, 0, 0, 0, 0, 0, 6, 6, 63
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\RedisMgr.h", "C++", 30, 0, 0, 0, 0, 0, 6, 12, 48
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Room.h", "C++", 31, 0, 0, 0, 0, 0, 6, 11, 48
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\RoomMgr.h", "C++", 20, 0, 0, 0, 0, 0, 5, 6, 31
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\SessionMgr.h", "C++", 20, 0, 0, 0, 0, 0, 3, 5, 28
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Singleton.h", "C++", 29, 0, 0, 0, 0, 0, 9, 5, 43
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\const.h", "C++", 53, 0, 0, 0, 0, 0, 18, 8, 79
"e:\qt_project\SyncCanvas\CanvasServer\src\AsioIOServicePool.cpp", "C++", 42, 0, 0, 0, 0, 0, 8, 7, 57
"e:\qt_project\SyncCanvas\CanvasServer\src\CServer.cpp", "C++", 38, 0, 0, 0, 0, 0, 4, 4, 46
"e:\qt_project\SyncCanvas\CanvasServer\src\CSession.cpp", "C++", 247, 0, 0, 0, 0, 0, 35, 45, 327
"e:\qt_project\SyncCanvas\CanvasServer\src\CanvasServer.cpp", "C++", 59, 0, 0, 0, 0, 0, 18, 17, 94
"e:\qt_project\SyncCanvas\CanvasServer\src\ConfigMgr.cpp", "C++", 40, 0, 0, 0, 0, 0, 3, 4, 47
"e:\qt_project\SyncCanvas\CanvasServer\src\LogicSystem.cpp", "C++", 313, 0, 0, 0, 0, 0, 45, 62, 420
"e:\qt_project\SyncCanvas\CanvasServer\src\RedisMgr.cpp", "C++", 244, 0, 0, 0, 0, 0, 22, 27, 293
"e:\qt_project\SyncCanvas\CanvasServer\src\Room.cpp", "C++", 130, 0, 0, 0, 0, 0, 36, 34, 200
"e:\qt_project\SyncCanvas\CanvasServer\src\RoomMgr.cpp", "C++", 44, 0, 0, 0, 0, 0, 2, 11, 57
"e:\qt_project\SyncCanvas\CanvasServer\src\SessionMgr.cpp", "C++", 36, 0, 0, 0, 0, 0, 4, 11, 51
"e:\qt_project\SyncCanvas\DBClient\CMakeLists.txt", "CMake", 0, 0, 0, 0, 91, 0, 0, 18, 109
"e:\qt_project\SyncCanvas\DBClient\README.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 8, 45
"e:\qt_project\SyncCanvas\DBClient\canvas.cpp", "C++", 422, 0, 0, 0, 0, 0, 105, 113, 640
"e:\qt_project\SyncCanvas\DBClient\canvas.h", "C++", 60, 0, 0, 0, 0, 0, 2, 18, 80
"e:\qt_project\SyncCanvas\DBClient\global.cpp", "C++", 21, 0, 0, 0, 0, 0, 7, 14, 42
"e:\qt_project\SyncCanvas\DBClient\global.h", "C++", 78, 0, 0, 0, 0, 0, 11, 15, 104
"e:\qt_project\SyncCanvas\DBClient\hoverwidget.cpp", "C++", 104, 0, 0, 0, 0, 0, 27, 34, 165
"e:\qt_project\SyncCanvas\DBClient\hoverwidget.h", "C++", 31, 0, 0, 0, 0, 0, 15, 13, 59
