"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CSession.h", "C++", 1, 0, 0, 0, 1
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\LogicSystem.h", "C++", 2, 0, 1, 1, 4
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Room.h", "C++", 5, 0, 3, 3, 11
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\const.h", "C++", 2, 0, 0, 0, 2
"e:\qt_project\SyncCanvas\CanvasServer2\src\CSession.cpp", "C++", 38, 0, 5, 6, 49
"e:\qt_project\SyncCanvas\CanvasServer2\src\LogicSystem.cpp", "C++", 62, 0, 5, 12, 79
"e:\qt_project\SyncCanvas\CanvasServer2\src\Room.cpp", "C++", 65, 0, -9, 10, 66
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CSession.h", "C++", 1, 0, 0, 0, 1
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\LogicSystem.h", "C++", 2, 0, 1, 1, 4
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Room.h", "C++", 5, 0, 3, 3, 11
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\const.h", "C++", 2, 0, 0, 0, 2
"e:\qt_project\SyncCanvas\CanvasServer\src\CSession.cpp", "C++", 38, 0, 5, 6, 49
"e:\qt_project\SyncCanvas\CanvasServer\src\LogicSystem.cpp", "C++", 62, 0, 5, 12, 79
"e:\qt_project\SyncCanvas\CanvasServer\src\Room.cpp", "C++", 65, 0, -9, 10, 66
"e:\qt_project\SyncCanvas\DBClient\canvas.cpp", "C++", 29, 0, 3, 8, 40
"e:\qt_project\SyncCanvas\DBClient\canvas.h", "C++", 6, 0, 1, 1, 8
"e:\qt_project\SyncCanvas\DBClient\global.h", "C++", 2, 0, 0, 0, 2
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.cpp", "C++", 16, 0, 3, 2, 21
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.h", "C++", 6, 0, 1, 1, 8
"e:\qt_project\SyncCanvas\README.md", "Markdown", 0, 19, 0, 9, 28
"Total", "-", 409, 19, 18, 85, 531
