"filename", "language", "C++", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\LogicSystem.h", "C++", 2, 2, 2, 6
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Room.h", "C++", 7, 0, 1, 8
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\const.h", "C++", 5, 0, 0, 5
"e:\qt_project\SyncCanvas\CanvasServer2\src\CSession.cpp", "C++", 7, 1, 1, 9
"e:\qt_project\SyncCanvas\CanvasServer2\src\LogicSystem.cpp", "C++", 133, 4, 28, 165
"e:\qt_project\SyncCanvas\CanvasServer2\src\Room.cpp", "C++", 35, 1, 9, 45
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\LogicSystem.h", "C++", 2, 2, 2, 6
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Room.h", "C++", 7, 0, 1, 8
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\const.h", "C++", 5, 0, 0, 5
"e:\qt_project\SyncCanvas\CanvasServer\src\CSession.cpp", "C++", 7, 1, 1, 9
"e:\qt_project\SyncCanvas\CanvasServer\src\LogicSystem.cpp", "C++", 133, 4, 29, 166
"e:\qt_project\SyncCanvas\CanvasServer\src\Room.cpp", "C++", 35, 1, 9, 45
"e:\qt_project\SyncCanvas\DBClient\canvas.cpp", "C++", 146, 11, 36, 193
"e:\qt_project\SyncCanvas\DBClient\canvas.h", "C++", 7, 0, 0, 7
"e:\qt_project\SyncCanvas\DBClient\global.h", "C++", 9, 0, 0, 9
"e:\qt_project\SyncCanvas\DBClient\mainwindow.cpp", "C++", 7, 2, 2, 11
"e:\qt_project\SyncCanvas\DBClient\mainwindow.h", "C++", 1, 0, 0, 1
"e:\qt_project\SyncCanvas\DBClient\paintscene.cpp", "C++", 15, 0, 4, 19
"e:\qt_project\SyncCanvas\DBClient\paintscene.h", "C++", 3, 0, 0, 3
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.cpp", "C++", 54, 4, 9, 67
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.h", "C++", 3, 0, 0, 3
"e:\qt_project\SyncCanvas\DBClient\welcomewidget.cpp", "C++", 1, 1, 0, 2
"e:\qt_project\SyncCanvas\DBClient\welcomewidget.h", "C++", 1, 0, 0, 1
"Total", "-", 625, 34, 134, 793
