"filename", "language", "Markdown", "JavaScript", "C++", "Dotenv", "CMake", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\.env", "Dotenv", 0, 0, 0, 3, 0, 0, 1, 4
"e:\qt_project\SyncCanvas\CanvasServer2\CMakeLists.txt", "CMake", 0, 0, 0, 0, 13, 0, -3, 10
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Singleton.h", "C++", 0, 0, 2, 0, 0, 0, 0, 2
"e:\qt_project\SyncCanvas\CanvasServer2\src\CSession.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 1
"e:\qt_project\SyncCanvas\CanvasServer\CMakeLists.txt", "CMake", 0, 0, 0, 0, 13, 0, -3, 10
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Singleton.h", "C++", 0, 0, 2, 0, 0, 0, 0, 2
"e:\qt_project\SyncCanvas\CanvasServer\src\CServer.cpp", "C++", 0, 0, 6, 0, 0, -4, 5, 7
"e:\qt_project\SyncCanvas\CanvasServer\src\CSession.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 1
"e:\qt_project\SyncCanvas\DBClient\canvas.cpp", "C++", 0, 0, 95, 0, 0, 30, 15, 140
"e:\qt_project\SyncCanvas\DBClient\canvas.h", "C++", 0, 0, 7, 0, 0, 5, 1, 13
"e:\qt_project\SyncCanvas\DBClient\paintscene.cpp", "C++", 0, 0, 33, 0, 0, 2, 8, 43
"e:\qt_project\SyncCanvas\DBClient\paintscene.h", "C++", 0, 0, 13, 0, 0, 1, 2, 16
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.cpp", "C++", 0, 0, -1, 0, 0, 2, 0, 1
"e:\qt_project\SyncCanvas\GateServer\CMakeLists.txt", "CMake", 0, 0, 0, 0, 17, 0, 1, 18
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\Singleton.h", "C++", 0, 0, 2, 0, 0, 0, 0, 2
"e:\qt_project\SyncCanvas\GateServer\src\GateServer.cpp", "C++", 0, 0, -1, 0, 0, -1, 1, -1
"e:\qt_project\SyncCanvas\LogicServer\CMakeLists.txt", "CMake", 0, 0, 0, 0, 20, 0, 0, 20
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlPool.h", "C++", 0, 0, 3, 0, 0, -1, 3, 5
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\Singleton.h", "C++", 0, 0, 2, 0, 0, 0, 0, 2
"e:\qt_project\SyncCanvas\LogicServer\src\MysqlPool.cpp", "C++", 0, 0, 49, 0, 0, -3, 15, 61
"e:\qt_project\SyncCanvas\README.md", "Markdown", 13, 0, 0, 0, 0, 0, 26, 39
"e:\qt_project\SyncCanvas\VerifyServer\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 13, 0, 214, 3, 63, 31, 73, 397
