Date : 2026-05-20 18:57:30
Directory : e:\qt_project\SyncCanvas
Total : 148 files,  12561 codes, 1639 comments, 2441 blanks, all 16641 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |        123 |     10,419 |      1,555 |      2,191 |     14,165 |
| JSON       |          7 |      1,010 |          0 |          8 |      1,018 |
| CMake      |          5 |        610 |          0 |         94 |        704 |
| Markdown   |          3 |        267 |          0 |         85 |        352 |
| JavaScript |          6 |        171 |         56 |         36 |        263 |
| Batch      |          3 |         81 |         28 |         26 |        135 |
| Dotenv     |          1 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |        148 |     12,561 |      1,639 |      2,441 |     16,641 |
| . (Files)                                                                       |          2 |        206 |          0 |         71 |        277 |
| CanvasServer                                                                    |         26 |      2,261 |        268 |        432 |      2,961 |
| CanvasServer (Files)                                                            |          3 |        263 |          9 |         29 |        301 |
| CanvasServer2                                                                   |         26 |      2,256 |        272 |        424 |      2,952 |
| CanvasServer2 (Files)                                                           |          3 |        264 |          9 |         27 |        300 |
| CanvasServer2\include                                                           |         13 |        458 |         79 |        109 |        646 |
| CanvasServer2\include\CanvasServer                                              |         13 |        458 |         79 |        109 |        646 |
| CanvasServer2\src                                                               |         10 |      1,534 |        184 |        288 |      2,006 |
| CanvasServer\include                                                            |         13 |        458 |         79 |        109 |        646 |
| CanvasServer\include\CanvasServer                                               |         13 |        458 |         79 |        109 |        646 |
| CanvasServer\src                                                                |         10 |      1,540 |        180 |        294 |      2,014 |
| DBClient                                                                        |         42 |      4,151 |        761 |      1,041 |      5,953 |
| GateServer                                                                      |         24 |      1,659 |        167 |        244 |      2,070 |
| GateServer (Files)                                                              |          4 |        274 |         10 |         33 |        317 |
| GateServer\include                                                              |         11 |        416 |         50 |         86 |        552 |
| GateServer\include\GateServer                                                   |         11 |        416 |         50 |         86 |        552 |
| GateServer\src                                                                  |          9 |        969 |        107 |        125 |      1,201 |
| LogicServer                                                                     |         19 |      1,257 |        115 |        189 |      1,561 |
| LogicServer (Files)                                                             |          2 |        236 |          0 |         24 |        260 |
| LogicServer\include                                                             |         10 |        245 |         45 |         59 |        349 |
| LogicServer\include\LogicServer                                                 |         10 |        245 |         45 |         59 |        349 |
| LogicServer\src                                                                 |          7 |        776 |         70 |        106 |        952 |
| VerifyServer                                                                    |          9 |        771 |         56 |         40 |        867 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                        | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\qt_project\SyncCanvas\.env                                                   | Dotenv     |          3 |          0 |          1 |          4 |
| e:\qt_project\SyncCanvas\CanvasServer2\CMakeLists.txt                           | CMake      |        132 |          0 |         17 |        149 |
| e:\qt_project\SyncCanvas\CanvasServer2\CMakePresets.json                        | JSON       |        103 |          0 |          1 |        104 |
| e:\qt_project\SyncCanvas\CanvasServer2\gen_message.bat                          | Batch      |         29 |          9 |          9 |         47 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\AsioIOServicePool.h | C++        |         25 |          4 |         11 |         40 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CServer.h           | C++        |         19 |          0 |          3 |         22 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CSession.h          | C++        |         56 |          6 |         11 |         73 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CanvasServer.h      | C++        |          2 |          3 |          4 |          9 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\ConfigMgr.h         | C++        |         66 |          0 |         10 |         76 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\LogicSystem.h       | C++        |         35 |         10 |         13 |         58 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\MsgNode.h           | C++        |         51 |          6 |          6 |         63 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\RedisMgr.h          | C++        |         30 |          6 |         12 |         48 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Room.h              | C++        |         43 |          9 |         15 |         67 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\RoomMgr.h           | C++        |         20 |          5 |          6 |         31 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\SessionMgr.h        | C++        |         20 |          3 |          5 |         28 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Singleton.h         | C++        |         31 |          9 |          5 |         45 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\const.h             | C++        |         60 |         18 |          8 |         86 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\AsioIOServicePool.cpp                | C++        |         42 |          8 |          7 |         57 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\CServer.cpp                          | C++        |         38 |          4 |          4 |         46 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\CSession.cpp                         | C++        |        293 |         41 |         52 |        386 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\CanvasServer.cpp                     | C++        |         59 |         18 |         17 |         94 |
